date,opex_minus_one,vixpiration_minus_one,vixpiration,vixpiration_plus_one
2025-01-01,false,false,false,false
2025-01-02,false,false,false,false
2025-01-03,false,false,false,false
2025-01-04,false,false,false,false
2025-01-05,false,false,false,false
2025-01-06,false,false,false,false
2025-01-07,false,false,false,false
2025-01-08,false,false,false,false
2025-01-09,false,false,false,false
2025-01-10,false,false,false,false
2025-01-11,false,false,false,false
2025-01-12,false,false,false,false
2025-01-13,false,false,false,false
2025-01-14,false,false,false,false
2025-01-15,false,false,false,false
2025-01-16,true,false,false,false
2025-01-17,false,false,false,false
2025-01-18,false,false,false,false
2025-01-19,false,false,false,false
2025-01-20,false,false,false,false
2025-01-21,false,true,false,false
2025-01-22,false,false,true,false
2025-01-23,false,false,false,true
2025-01-24,false,false,false,false
2025-01-25,false,false,false,false
2025-01-26,false,false,false,false
2025-01-27,false,false,false,false
2025-01-28,false,false,false,false
2025-01-29,false,false,false,false
2025-01-30,false,false,false,false
2025-01-31,false,false,false,false
2025-02-01,false,false,false,false
2025-02-02,false,false,false,false
2025-02-03,false,false,false,false
2025-02-04,false,false,false,false
2025-02-05,false,false,false,false
2025-02-06,false,false,false,false
2025-02-07,false,false,false,false
2025-02-08,false,false,false,false
2025-02-09,false,false,false,false
2025-02-10,false,false,false,false
2025-02-11,false,false,false,false
2025-02-12,false,false,false,false
2025-02-13,false,false,false,false
2025-02-14,false,false,false,false
2025-02-15,false,false,false,false
2025-02-16,false,false,false,false
2025-02-17,false,false,false,false
2025-02-18,false,true,false,false
2025-02-19,false,false,true,false
2025-02-20,true,false,false,true
2025-02-21,false,false,false,false
2025-02-22,false,false,false,false
2025-02-23,false,false,false,false
2025-02-24,false,false,false,false
2025-02-25,false,false,false,false
2025-02-26,false,false,false,false
2025-02-27,false,false,false,false
2025-02-28,false,false,false,false
2025-03-01,false,false,false,false
2025-03-02,false,false,false,false
2025-03-03,false,false,false,false
2025-03-04,false,false,false,false
2025-03-05,false,false,false,false
2025-03-06,false,false,false,false
2025-03-07,false,false,false,false
2025-03-08,false,false,false,false
2025-03-09,false,false,false,false
2025-03-10,false,false,false,false
2025-03-11,false,false,false,false
2025-03-12,false,false,false,false
2025-03-13,false,false,false,false
2025-03-14,false,false,false,false
2025-03-15,false,false,false,false
2025-03-16,false,false,false,false
2025-03-17,false,true,false,false
2025-03-18,false,false,true,false
2025-03-19,false,false,false,true
2025-03-20,true,false,false,false
2025-03-21,false,false,false,false
2025-03-22,false,false,false,false
2025-03-23,false,false,false,false
2025-03-24,false,false,false,false
2025-03-25,false,false,false,false
2025-03-26,false,false,false,false
2025-03-27,false,false,false,false
2025-03-28,false,false,false,false
2025-03-29,false,false,false,false
2025-03-30,false,false,false,false
2025-03-31,false,false,false,false
2025-04-01,false,false,false,false
2025-04-02,false,false,false,false
2025-04-03,false,false,false,false
2025-04-04,false,false,false,false
2025-04-05,false,false,false,false
2025-04-06,false,false,false,false
2025-04-07,false,false,false,false
2025-04-08,false,false,false,false
2025-04-09,false,false,false,false
2025-04-10,false,false,false,false
2025-04-11,false,false,false,false
2025-04-12,false,false,false,false
2025-04-13,false,false,false,false
2025-04-14,false,false,false,false
2025-04-15,false,true,false,false
2025-04-16,true,false,true,false
2025-04-17,false,false,false,true
2025-04-18,false,false,false,false
2025-04-19,false,false,false,false
2025-04-20,false,false,false,false
2025-04-21,false,false,false,false
2025-04-22,false,false,false,false
2025-04-23,false,false,false,false
2025-04-24,false,false,false,false
2025-04-25,false,false,false,false
2025-04-26,false,false,false,false
2025-04-27,false,false,false,false
2025-04-28,false,false,false,false
2025-04-29,false,false,false,false
2025-04-30,false,false,false,false
2025-05-01,false,false,false,false
2025-05-02,false,false,false,false
2025-05-03,false,false,false,false
2025-05-04,false,false,false,false
2025-05-05,false,false,false,false
2025-05-06,false,false,false,false
2025-05-07,false,false,false,false
2025-05-08,false,false,false,false
2025-05-09,false,false,false,false
2025-05-10,false,false,false,false
2025-05-11,false,false,false,false
2025-05-12,false,false,false,false
2025-05-13,false,false,false,false
2025-05-14,false,false,false,false
2025-05-15,true,false,false,false
2025-05-16,false,false,false,false
2025-05-17,false,false,false,false
2025-05-18,false,false,false,false
2025-05-19,false,false,false,false
2025-05-20,false,true,false,false
2025-05-21,false,false,true,false
2025-05-22,false,false,false,true
2025-05-23,false,false,false,false
2025-05-24,false,false,false,false
2025-05-25,false,false,false,false
2025-05-26,false,false,false,false
2025-05-27,false,false,false,false
2025-05-28,false,false,false,false
2025-05-29,false,false,false,false
2025-05-30,false,false,false,false
2025-05-31,false,false,false,false
2025-06-01,false,false,false,false
2025-06-02,false,false,false,false
2025-06-03,false,false,false,false
2025-06-04,false,false,false,false
2025-06-05,false,false,false,false
2025-06-06,false,false,false,false
2025-06-07,false,false,false,false
2025-06-08,false,false,false,false
2025-06-09,false,false,false,false
2025-06-10,false,false,false,false
2025-06-11,false,false,false,false
2025-06-12,false,false,false,false
2025-06-13,false,false,false,false
2025-06-14,false,false,false,false
2025-06-15,false,false,false,false
2025-06-16,false,false,false,false
2025-06-17,false,true,false,false
2025-06-18,false,false,true,false
2025-06-19,true,false,false,true
2025-06-20,false,false,false,false
2025-06-21,false,false,false,false
2025-06-22,false,false,false,false
2025-06-23,false,false,false,false
2025-06-24,false,false,false,false
2025-06-25,false,false,false,false
2025-06-26,false,false,false,false
2025-06-27,false,false,false,false
2025-06-28,false,false,false,false
2025-06-29,false,false,false,false
2025-06-30,false,false,false,false
2025-07-01,false,false,false,false
2025-07-02,false,false,false,false
2025-07-03,false,false,false,false
2025-07-04,false,false,false,false
2025-07-05,false,false,false,false
2025-07-06,false,false,false,false
2025-07-07,false,false,false,false
2025-07-08,false,false,false,false
2025-07-09,false,false,false,false
2025-07-10,false,false,false,false
2025-07-11,false,false,false,false
2025-07-12,false,false,false,false
2025-07-13,false,false,false,false
2025-07-14,false,false,false,false
2025-07-15,false,true,false,false
2025-07-16,false,false,true,false
2025-07-17,true,false,false,true
2025-07-18,false,false,false,false
2025-07-19,false,false,false,false
2025-07-20,false,false,false,false
2025-07-21,false,false,false,false
2025-07-22,false,false,false,false
2025-07-23,false,false,false,false
2025-07-24,false,false,false,false
2025-07-25,false,false,false,false
2025-07-26,false,false,false,false
2025-07-27,false,false,false,false
2025-07-28,true,false,false,false
2025-07-29,false,false,false,false
2025-07-30,false,false,false,false
2025-07-31,false,false,false,false
2025-08-01,false,false,false,false
2025-08-02,false,false,false,false
2025-08-03,false,false,false,false
2025-08-04,false,false,false,false
2025-08-05,false,false,false,false
2025-08-06,false,false,false,false
2025-08-07,false,false,false,false
2025-08-08,false,false,false,false
2025-08-09,false,false,false,false
2025-08-10,false,false,false,false
2025-08-11,false,false,false,false
2025-08-12,false,false,false,false
2025-08-13,false,false,false,false
2025-08-14,true,false,false,false
2025-08-15,false,false,false,false
2025-08-16,false,false,false,false
2025-08-17,false,false,false,false
2025-08-18,false,false,false,false
2025-08-19,false,true,false,false
2025-08-20,false,false,true,false
2025-08-21,false,false,false,true
2025-08-22,false,false,false,false
2025-08-23,false,false,false,false
2025-08-24,false,false,false,false
2025-08-25,false,false,false,false
2025-08-26,false,false,false,false
2025-08-27,false,false,false,false
2025-08-28,false,false,false,false
2025-08-29,false,false,false,false
2025-08-30,false,false,false,false
2025-08-31,false,false,false,false
2025-09-01,false,false,false,false
2025-09-02,false,false,false,false
2025-09-03,false,false,false,false
2025-09-04,false,false,false,false
2025-09-05,false,false,false,false
2025-09-06,false,false,false,false
2025-09-07,false,false,false,false
2025-09-08,false,false,false,false
2025-09-09,false,false,false,false
2025-09-10,false,false,false,false
2025-09-11,false,false,false,false
2025-09-12,false,false,false,false
2025-09-13,false,false,false,false
2025-09-14,false,false,false,false
2025-09-15,false,false,false,false
2025-09-16,false,true,false,false
2025-09-17,false,false,true,false
2025-09-18,true,false,false,true
2025-09-19,false,false,false,false
2025-09-20,false,false,false,false
2025-09-21,false,false,false,false
2025-09-22,false,false,false,false
2025-09-23,false,false,false,false
2025-09-24,false,false,false,false
2025-09-25,false,false,false,false
2025-09-26,false,false,false,false
2025-09-27,false,false,false,false
2025-09-28,false,false,false,false
2025-09-29,false,false,false,false
2025-09-30,false,false,false,false
2025-10-01,false,false,false,false
2025-10-02,false,false,false,false
2025-10-03,false,false,false,false
2025-10-04,false,false,false,false
2025-10-05,false,false,false,false
2025-10-06,false,false,false,false
2025-10-07,false,false,false,false
2025-10-08,false,false,false,false
2025-10-09,false,false,false,false
2025-10-10,false,false,false,false
2025-10-11,false,false,false,false
2025-10-12,false,false,false,false
2025-10-13,false,false,false,false
2025-10-14,false,false,false,false
2025-10-15,false,false,false,false
2025-10-16,true,false,false,false
2025-10-17,false,false,false,false
2025-10-18,false,false,false,false
2025-10-19,false,false,false,false
2025-10-20,false,false,false,false
2025-10-21,false,true,false,false
2025-10-22,false,false,true,false
2025-10-23,false,false,false,true
2025-10-24,false,false,false,false
2025-10-25,false,false,false,false
2025-10-26,false,false,false,false
2025-10-27,false,false,false,false
2025-10-28,false,false,false,false
2025-10-29,false,false,false,false
2025-10-30,false,false,false,false
2025-10-31,false,false,false,false
2025-11-01,false,false,false,false
2025-11-02,false,false,false,false
2025-11-03,false,false,false,false
2025-11-04,false,false,false,false
2025-11-05,false,false,false,false
2025-11-06,false,false,false,false
2025-11-07,false,false,false,false
2025-11-08,false,false,false,false
2025-11-09,false,false,false,false
2025-11-10,false,false,false,false
2025-11-11,false,false,false,false
2025-11-12,false,false,false,false
2025-11-13,false,false,false,false
2025-11-14,false,false,false,false
2025-11-15,false,false,false,false
2025-11-16,false,false,false,false
2025-11-17,false,false,false,false
